Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,contacts
402.286,20087,402,286000000,,"[True, True, True, True]"
402.306,20088,402,306000000,,"[True, True, True, True]"
402.327,20089,402,327000000,,"[True, True, True, True]"
402.347,20090,402,346000000,,"[True, True, True, True]"
402.367,20091,402,367000000,,"[True, True, True, True]"
402.386,20092,402,386000000,,"[True, True, True, True]"
402.406,20093,402,406000000,,"[True, True, True, True]"
402.427,20094,402,427000000,,"[True, True, True, True]"
402.447,20095,402,447000000,,"[True, True, True, True]"
402.466,20096,402,466000000,,"[False, False, False, True]"
402.486,20097,402,486000000,,"[True, True, True, True]"
402.506,20098,402,506000000,,"[True, True, True, True]"
402.526,20099,402,526000000,,"[True, True, True, True]"
402.546,20100,402,546000000,,"[True, True, True, True]"
402.566,20101,402,566000000,,"[True, True, True, True]"
402.586,20102,402,586000000,,"[True, True, True, True]"
402.606,20103,402,606000000,,"[True, True, True, True]"
402.626,20104,402,626000000,,"[True, True, True, True]"
402.646,20105,402,646000000,,"[True, True, True, True]"
402.666,20106,402,666000000,,"[True, True, True, True]"
402.686,20107,402,686000000,,"[True, True, True, True]"
402.706,20108,402,706000000,,"[True, True, True, True]"
402.726,20109,402,726000000,,"[True, True, True, True]"
402.747,20110,402,747000000,,"[True, True, True, True]"
402.767,20111,402,766000000,,"[True, True, True, True]"
402.787,20112,402,786000000,,"[True, True, True, True]"
402.806,20113,402,806000000,,"[True, True, True, True]"
402.826,20114,402,826000000,,"[True, True, True, True]"
402.847,20115,402,846000000,,"[True, True, True, True]"
402.867,20116,402,866000000,,"[True, True, True, True]"
402.886,20117,402,886000000,,"[True, True, True, True]"
402.906,20118,402,906000000,,"[True, True, True, True]"
402.926,20119,402,926000000,,"[True, True, True, True]"
402.946,20120,402,946000000,,"[True, True, True, True]"
402.967,20121,402,966000000,,"[True, True, True, True]"
402.986,20122,402,986000000,,"[True, True, True, True]"
403.006,20123,403,6000000,,"[True, True, True, True]"
403.026,20124,403,26000000,,"[True, True, True, True]"
403.047,20125,403,46000000,,"[True, True, True, True]"
403.066,20126,403,66000000,,"[True, True, True, True]"
403.086,20127,403,86000000,,"[True, True, True, True]"
403.106,20128,403,106000000,,"[True, True, True, True]"
403.126,20129,403,126000000,,"[True, True, True, True]"
403.146,20130,403,146000000,,"[True, True, True, True]"
403.166,20131,403,166000000,,"[True, True, True, True]"
403.186,20132,403,186000000,,"[True, True, True, True]"
403.206,20133,403,206000000,,"[True, True, True, True]"
